pmid,max_grade,all_topic_grades
25322323,4,2:4
27030077,4,"11:4,12:1,13:2,14:1"
30428063,4,28:4
26254443,4,22:4
29383700,4,22:4
27082062,4,20:4
28523933,4,26:4
28412197,4,4:4
28054318,4,2:4
23662017,4,35:4
28268064,4,28:4
24957109,4,22:4
26117830,4,27:4
27993796,4,"7:4,10:2"
27835601,4,2:4
25855240,4,"2:4,15:1"
26389762,4,2:4
29242937,4,26:4
27003155,4,7:4
26480622,4,33:4
22844126,4,33:4
23975637,4,1:4
30090122,4,2:4
21707289,4,"18:1,33:4"
25503781,4,15:4
30342021,4,7:4
30276451,4,17:4
27220960,4,20:4
30340505,4,14:4
30214230,4,"11:4,12:1,13:2,14:1"
30478649,4,"8:4,10:4"
30205280,4,4:4
21990299,4,9:4
28139444,4,26:4
27717303,4,14:4
21664867,4,18:4
29437768,4,14:4
21736504,4,18:4
19173737,4,33:4
29731395,4,"11:4,12:1"
29108355,4,37:4
26951079,4,2:4
23891158,4,26:4
24206640,4,27:4
29497278,4,"11:4,12:1,13:2"
26830312,4,"11:4,12:1"
30120161,4,"1:4,30:2"
29651128,4,4:4
22986231,4,2:4
30352859,4,36:4
27354271,4,"12:1,13:4"
27426307,4,"7:4,10:2"
26723501,4,"7:4,10:2"
23962569,4,22:4
28607922,4,3:4
28689043,4,2:4
26141621,4,"4:4,37:1"
23636448,4,26:4
30485437,4,15:4
28626402,4,9:4
27888325,4,1:4
26334693,4,1:4
25690490,4,35:4
29718092,4,14:4
26219523,4,4:4
26689508,4,33:4
29599312,4,"1:4,28:1"
20830316,4,27:4
28000291,4,3:4
27885838,4,16:4
22706123,2,10:2
21097693,2,"7:1,10:2"
28259999,2,1:2
27470608,2,28:2
22977191,2,25:2
25923549,2,16:2
24929884,2,35:2
24825122,2,6:2
29731638,2,15:2
28778132,2,32:2
23997941,2,"1:2,30:1"
28454726,2,1:2
24716227,2,20:2
26500849,2,36:2
28857200,2,20:2
25941111,2,"12:1,13:2"
21691147,2,20:2
28649895,2,13:2
29895102,2,"7:1,10:2"
30522378,2,10:2
20430774,2,18:2
29784737,2,"11:1,12:1,13:2,14:1"
17987219,2,33:2
22409342,2,36:2
25716100,2,"12:1,13:2"
24510983,2,9:2
28286924,2,24:2
29152062,2,10:2
29097609,2,"13:2,14:2"
25344360,2,29:2
28232670,2,24:2
20942625,2,27:2
24411587,2,33:2
27936391,2,20:2
15786432,2,14:2
28104619,2,16:2
26281686,2,8:2
28792245,2,25:2
26598547,2,17:2
28458774,2,35:2
29980490,2,25:2
29156201,2,24:2
24256343,2,23:2
30504318,2,36:2
26809522,2,1:2
25465491,2,18:2
20881954,2,26:2
29789630,2,14:2
30522347,2,14:2
27051749,2,35:2
20660290,2,2:2
30358592,2,24:2
29050219,2,"11:1,12:2,13:1"
29277834,2,27:2
29656750,2,"15:2,17:1"
24275147,2,20:2
30178564,2,35:2
29376400,2,17:2
21862407,2,10:2
24758910,2,15:2
21342228,2,27:2
21326243,2,10:2
25708226,2,10:2
28261653,2,28:2
23293114,2,15:2
25900027,2,27:2
19850637,2,27:2
21884432,2,8:2
28446054,2,36:2
29514844,2,20:2
27087139,2,"11:2,12:1,13:2"
26184520,2,1:2
25140039,2,17:2
30189719,2,16:2
25738310,2,20:2
30254966,2,25:2
28183697,2,39:2
23587417,2,4:2
26865419,2,30:2
28810837,2,26:2
30209701,2,24:2
21387258,2,27:2
17178882,2,20:2
28818109,2,1:2
22759740,2,10:2
21521830,2,9:2
29750868,2,"6:1,10:2"
30290647,2,17:2
29321093,2,2:2
29925981,2,24:2
23614653,2,27:2
27542767,2,14:2
30087028,2,28:2
25883215,2,10:2
27865140,2,1:2
26572704,2,33:2
30154433,2,20:2
28607774,2,35:2
26891329,2,35:2
17145584,2,33:2
26862733,2,17:2
22818130,2,33:2
23682582,2,20:2
26232849,2,"1:2,25:1"
23165508,2,10:2
22873368,2,33:2
24273599,2,"1:2,25:1"
26416145,2,36:2
26546616,2,35:2
25301566,2,2:2
27496136,2,20:2
25138900,2,"1:2,25:1"
29517106,2,23:2
29317835,2,2:2
29191969,2,32:2
26001180,2,4:2
20456985,2,33:2
22322234,2,20:2
30223250,2,"24:2,40:1"
26489500,2,36:2
20028765,2,18:2
15998836,2,40:2
27398042,2,1:2
23553067,2,30:2
26186355,2,"2:1,15:2,17:1"
22553343,1,29:1
29567272,1,7:1
26557768,1,15:1
27841077,1,2:1
29245989,1,"11:1,13:1"
26348626,1,22:1
27920501,1,15:1
11812097,1,6:1
21049085,1,18:1
19638574,1,27:1
29153893,1,11:1
22214462,1,27:1
27784815,1,2:1
17483355,1,29:1
30368411,1,29:1
25769807,1,29:1
28138934,1,17:1
27884198,1,7:1
22179180,1,27:1
26389028,1,35:1
21484496,1,26:1
17953709,1,5:1
24893155,1,22:1
25648338,1,28:1
30069759,1,29:1
17823993,1,33:1
25580262,1,25:1
23395995,1,5:1
29095090,1,2:1
24050123,1,25:1
28926611,1,33:1
20828385,1,18:1
25553081,1,23:1
29915896,1,16:1
27912836,1,17:1
26134234,1,17:1
28528303,1,16:1
29662630,1,28:1
22343387,1,23:1
23883584,1,15:1
22568572,1,2:1
30083256,1,20:1
30185666,1,11:1
22938056,1,23:1
26202045,1,15:1
16122184,1,6:1
22954507,1,2:1
29548491,1,28:1
25309870,1,15:1
29935852,1,29:1
26170630,1,23:1
30096454,1,2:1
28978559,1,"11:1,12:1"
29540977,1,17:1
30355724,1,24:1
24047539,1,25:1
24347491,1,1:1
22500115,1,23:1
30018881,1,"15:1,16:1"
29212784,1,16:1
20946682,1,29:1
25908961,1,23:1
17660871,1,18:1
26847682,1,28:1
23572408,1,26:1
23238831,1,25:1
26753004,1,39:1
25493238,1,25:1
24875464,1,28:1
30068711,1,28:1
23671386,1,29:1
23615728,1,29:1
16112177,1,6:1
28875723,1,14:1
23149898,1,25:1
26062443,1,20:1
25226813,1,29:1
24550577,1,35:1
19399651,1,33:1
29871347,1,33:1
30069769,1,"15:1,17:1"
25502447,1,6:1
28738235,1,30:1
27338794,1,28:1
26072686,1,28:1
29074211,1,16:1
27666659,1,29:1
25294897,1,5:1
16740688,1,33:1
21154129,1,29:1
24243565,1,33:1
22948846,1,29:1
28116908,1,16:1
24298632,1,25:1
30186457,1,11:1
20981133,1,26:1
28302530,1,1:1
26418897,1,15:1
25458604,1,25:1
29487786,1,16:1
24977453,1,26:1
26457764,1,39:1
28419328,1,16:1
27345554,1,23:1
30003858,1,7:1
25943319,1,15:1
28102647,1,14:1
23133319,1,23:1
24091619,1,33:1
18084154,1,18:1
29277186,1,16:1
29872179,1,14:1
10570433,1,6:1
27415012,1,7:1
27693535,1,29:1
29128965,1,"11:1,12:1"
29386539,1,16:1
9541681,1,6:1
30339198,1,29:1
28980030,1,17:1
23231950,1,23:1
25634215,1,9:1
26398757,1,15:1
30464688,1,17:1
28921565,1,4:1
